Start Date,Project Phase,Influent (Avg MGD),"Production within Range? (No = 0, Yes = 1)","Valid Observation? (No = 0, Yes = 1)",Actual Consumption (kWh/day),Predicted Consumption (kWh/day),GROSS Savings (Actual - Baseline),NET Savings (Actual - Baseline - CPs),Gross CUSUM,Net CUSUM,Deemed Lighting Project,Biosolids Dewatering Project,Deleted Utililty Meters,Notes
11/1/2010,0,39.49,1,1,"60,641","64,583","-3,942","-3,942","-3,942","-3,942",,,,
11/2/2010,0,32.62,1,1,"63,153","60,700","2,452","2,452","-1,490","-1,490",,,,
11/3/2010,0,25.26,1,1,"54,570","56,536","-1,966","-1,966","-3,456","-3,456",,,,
11/4/2010,0,22.54,1,1,"53,747","54,998","-1,252","-1,252","-4,707","-4,707",,,,
11/5/2010,0,21.66,1,1,"52,860","54,505","-1,646","-1,646","-6,353","-6,353",,,,
11/6/2010,0,25.74,1,1,"52,105","56,811","-4,706","-4,706","-11,059","-11,059",,,,
11/8/2010,0,25.83,1,1,"54,029","56,864","-2,835","-2,835","-13,894","-13,894",,,,Missing 11/7/10
11/9/2010,0,26.23,1,1,"54,271","57,086","-2,816","-2,816","-16,710","-16,710",,,,
11/10/2010,0,24.86,1,1,"54,202","56,311","-2,109","-2,109","-18,819","-18,819",,,,
11/11/2010,0,22.81,1,1,"52,116","55,156","-3,039","-3,039","-21,858","-21,858",,,,
11/12/2010,0,21.69,1,1,"53,580","54,518",-938,-938,"-22,797","-22,797",,,,
11/13/2010,0,20.33,1,1,"51,062","53,753","-2,691","-2,691","-25,488","-25,488",,,,
11/14/2010,0,21.71,1,1,"50,786","54,532","-3,746","-3,746","-29,234","-29,234",,,,
11/15/2010,0,23.31,1,1,"54,190","55,437","-1,247","-1,247","-30,481","-30,481",,,,
11/16/2010,0,22.96,1,1,"54,461","55,240",-779,-779,"-31,260","-31,260",,,,
11/17/2010,0,25.24,1,1,"55,204","56,528","-1,324","-1,324","-32,584","-32,584",,,,
11/18/2010,0,27.86,1,1,"55,728","58,010","-2,282","-2,282","-34,866","-34,866",,,,
11/19/2010,0,25.68,1,1,"54,645","56,774","-2,129","-2,129","-36,995","-36,995",,,,
11/20/2010,0,23.46,1,1,"53,038","55,520","-2,482","-2,482","-39,477","-39,477",,,,
11/21/2010,0,22.18,1,1,"52,554","54,797","-2,242","-2,242","-41,719","-41,719",,,,
11/22/2010,0,22.14,1,1,"57,001","54,772","2,229","2,229","-39,491","-39,491",,,,
11/23/2010,0,20.89,1,1,"56,886","54,070","2,816","2,816","-36,675","-36,675",,,,
11/24/2010,0,20.18,1,1,"56,269","53,667","2,602","2,602","-34,073","-34,073",,,,
11/25/2010,0,19.57,1,1,"54,265","53,321",944,944,"-33,128","-33,128",,,,
11/26/2010,0,20.75,1,1,"52,704","53,991","-1,287","-1,287","-34,415","-34,415",,,,
